"aicc","model"
2284.6511136088,"(2,2,3)(2,3,0)[12]"
2284.65537894323,"(0,0,1)(3,3,0)[12]"
2285.35237976067,"(0,0,0)(0,3,3)[12]"
2285.60456446014,"(0,0,0)(3,3,4)[12]"
2285.62211231418,"(0,2,5)(2,3,0)[12]"
2285.72433233552,"(0,0,0)(3,3,2)[12]"
2285.90706674568,"(1,2,4)(2,3,0)[12]"
2286.05475402778,"(0,0,0)(2,3,3)[12]"
2286.06766774605,"(1,0,0)(2,3,0)[12]"
2286.18681090633,"(0,0,0)(2,3,5)[12]"
2286.45237403176,"(0,1,0)(4,3,0)[12]"
2286.6318668366,"(2,2,1)(2,3,0)[12]"
2287.04063005132,"(1,0,1)(2,3,0)[12]"
2287.12882953173,"(2,0,0)(2,3,0)[12]"
2287.13399431904,"(2,2,0)(3,3,1)[12]"
2287.25895215258,"(3,2,1)(2,3,0)[12]"
2287.31906241951,"(0,0,0)(0,3,5)[12]"
2287.43236222143,"(0,0,0)(0,3,4)[12]"
2287.47327838199,"(0,0,0)(1,3,3)[12]"
2287.50875396857,"(0,0,0)(1,3,2)[12]"
2287.60308927139,"(1,2,1)(2,3,0)[12]"
2287.76496440715,"(0,0,0)(2,3,4)[12]"
2287.81249285895,"(0,0,0)(3,3,1)[12]"
2287.95200883313,"(0,0,0)(4,3,2)[12]"
2287.95491856594,"(0,0,0)(3,3,3)[12]"
2288.44543429615,"(0,0,0)(4,3,1)[12]"
2288.76344797743,"(4,2,1)(2,3,0)[12]"
2288.96475650009,"(0,0,0)(1,3,5)[12]"
2288.9830171463,"(0,0,0)(1,3,4)[12]"
2289.20237004642,"(1,0,2)(2,3,0)[12]"
2289.23654348785,"(3,0,0)(2,3,0)[12]"
2289.38994051571,"(0,0,0)(2,3,1)[12]"
2289.45909252054,"(2,2,0)(5,3,0)[12]"
2289.53039512081,"(2,0,1)(2,3,0)[12]"
2289.63909250103,"(0,0,0)(4,3,3)[12]"
2290.39508599857,"(1,1,2)(2,3,0)[12]"
2290.92206760025,"(0,0,4)(2,3,0)[12]"
2291.36259980078,"(2,0,2)(2,3,0)[12]"
2291.3954427918,"(1,0,3)(2,3,0)[12]"
2291.43609942329,"(4,0,0)(2,3,0)[12]"
2291.47693168101,"(3,0,1)(2,3,0)[12]"
2291.86706521441,"(2,2,0)(0,3,2)[12]"
2292.62347697232,"(3,1,1)(2,3,0)[12]"
2292.72343075799,"(1,0,4)(2,3,0)[12]"
2292.77678516857,"(2,2,0)(2,3,1)[12]"
2292.83835226283,"(0,0,3)(2,3,0)[12]"
2293.08428962657,"(0,0,5)(2,3,0)[12]"
2293.11099282774,"(2,1,2)(2,3,0)[12]"
2293.24394746552,"(4,0,1)(2,3,0)[12]"
2293.2543633524,"(2,0,3)(2,3,0)[12]"
2293.41459717854,"(3,0,2)(2,3,0)[12]"
2293.69118018882,"(5,0,0)(2,3,0)[12]"
2294.06828458553,"(0,1,2)(2,3,0)[12]"
2294.08377904932,"(0,0,0)(0,3,2)[12]"
2294.15313845325,"(0,0,2)(2,3,0)[12]"
2294.61305225006,"(4,2,0)(1,3,1)[12]"
2294.68019255169,"(0,1,5)(2,3,0)[12]"
2294.76211578006,"(0,1,3)(2,3,0)[12]"
2294.8201538913,"(2,1,3)(2,3,0)[12]"
2294.82313362151,"(4,1,1)(2,3,0)[12]"
2295.17399695053,"(0,1,0)(3,3,0)[12]"
2295.18744673113,"(0,2,1)(2,3,0)[12]"
2295.26806976611,"(0,1,1)(2,3,0)[12]"
2296.90961982053,"(0,1,4)(2,3,0)[12]"
2297.01951508312,"(1,1,3)(2,3,0)[12]"
2297.2577648158,"(1,2,0)(0,3,3)[12]"
2297.35933048445,"(5,1,0)(2,3,0)[12]"
2297.61019383192,"(3,2,0)(1,3,1)[12]"
2298.81033684963,"(1,2,0)(1,3,2)[12]"
2298.86010262746,"(2,1,0)(2,3,0)[12]"
2299.1070542415,"(3,2,0)(4,3,0)[12]"
2299.11890794179,"(1,1,4)(2,3,0)[12]"
2299.23682305918,"(3,1,0)(2,3,0)[12]"
2299.36272888529,"(1,2,0)(0,3,5)[12]"
2299.87303086586,"(1,2,0)(0,3,4)[12]"
2299.88179959582,"(1,2,0)(1,3,3)[12]"
2300.20633642455,"(1,1,0)(2,3,0)[12]"
2300.51013327673,"(1,2,0)(2,3,2)[12]"
2300.54681682631,"(4,1,0)(2,3,0)[12]"
2300.93076301986,"(1,2,0)(2,3,3)[12]"
2300.95215299181,"(1,2,0)(4,3,2)[12]"
2301.11238951511,"(1,2,0)(3,3,2)[12]"
2301.4899029097,"(1,2,0)(1,3,4)[12]"
2302.30687362968,"(1,2,2)(0,3,1)[12]"
2302.34821511987,"(1,2,0)(5,3,1)[12]"
2302.78694570204,"(0,0,1)(2,3,0)[12]"
2304.00327625734,"(1,2,0)(1,3,5)[12]"
2304.46849969392,"(2,2,2)(0,3,1)[12]"
2304.47150980012,"(1,2,0)(3,3,3)[12]"
2304.47579222054,"(1,2,3)(0,3,1)[12]"
2304.5362886864,"(1,2,0)(2,3,4)[12]"
2305.26311321737,"(4,2,0)(3,3,0)[12]"
2305.67687207585,"(1,2,0)(4,3,1)[12]"
2305.92352457357,"(0,2,4)(0,3,1)[12]"
2306.38128909296,"(1,2,4)(0,3,1)[12]"
2306.48125358251,"(3,2,2)(0,3,1)[12]"
2306.49995971903,"(2,2,3)(0,3,1)[12]"
2307.17174824816,"(0,2,5)(0,3,1)[12]"
2307.40228848012,"(2,2,0)(4,3,0)[12]"
2307.64902564942,"(1,2,0)(0,3,2)[12]"
2307.74064746553,"(2,2,0)(1,3,1)[12]"
2307.75514504542,"(1,2,5)(0,3,1)[12]"
2308.28759938482,"(1,0,0)(0,3,1)[12]"
2308.38133185668,"(2,2,4)(0,3,1)[12]"
2308.39390745603,"(3,2,3)(0,3,1)[12]"
2308.44194015165,"(0,1,0)(2,3,0)[12]"
2308.68856342207,"(3,0,3)(0,3,1)[12]"
2308.7423552695,"(3,2,0)(3,3,0)[12]"
2309.02425904329,"(0,0,0)(4,3,0)[12]"
2309.11725723977,"(0,2,3)(0,3,1)[12]"
2310.41396291894,"(2,0,0)(0,3,1)[12]"
2310.41453413218,"(1,0,1)(0,3,1)[12]"
2310.96055614564,"(1,2,0)(3,3,1)[12]"
2311.5040611575,"(4,0,2)(0,3,1)[12]"
2311.521571125,"(0,0,2)(0,3,1)[12]"
2311.55718918884,"(5,2,0)(2,3,0)[12]"
2311.85751829296,"(1,0,2)(0,3,1)[12]"
2311.89715727975,"(5,2,1)(0,3,1)[12]"
2312.07566018415,"(3,0,0)(0,3,1)[12]"
2312.26774240238,"(0,0,3)(0,3,1)[12]"
2312.34823768778,"(2,0,1)(0,3,1)[12]"
2312.41821180713,"(1,1,1)(0,3,1)[12]"
2312.47375117249,"(4,2,2)(0,3,1)[12]"
2312.56093278271,"(4,2,1)(0,3,1)[12]"
2312.97035625106,"(1,0,5)(0,3,1)[12]"
2313.36354476424,"(3,2,1)(0,3,1)[12]"
2313.72855534358,"(4,0,0)(0,3,1)[12]"
2313.74662087848,"(1,0,3)(0,3,1)[12]"
2313.79304660627,"(1,0,4)(0,3,1)[12]"
2313.91648115055,"(2,0,2)(0,3,1)[12]"
2313.92917275269,"(5,0,1)(0,3,1)[12]"
2313.95292090403,"(3,0,1)(0,3,1)[12]"
2314.12122944106,"(0,2,2)(0,3,1)[12]"
2314.15025042799,"(0,0,4)(0,3,1)[12]"
2314.58279684862,"(2,1,1)(0,3,1)[12]"
2314.58353536016,"(1,1,2)(0,3,1)[12]"
2314.63311084448,"(0,0,0)(3,3,0)[12]"
2315.64228975662,"(4,0,1)(0,3,1)[12]"
2315.8106486657,"(1,2,0)(2,3,1)[12]"
2315.82222773593,"(5,0,0)(0,3,1)[12]"
2315.9566362346,"(2,0,3)(0,3,1)[12]"
2316.06124243358,"(0,1,3)(0,3,1)[12]"
2316.15121133928,"(3,0,2)(0,3,1)[12]"
2316.20021623827,"(1,1,3)(0,3,1)[12]"
2316.34692958819,"(0,0,5)(0,3,1)[12]"
2316.39052817716,"(3,1,1)(0,3,1)[12]"
2316.66076209987,"(1,2,1)(0,3,1)[12]"
2316.78192028803,"(2,1,2)(0,3,1)[12]"
2316.78666010971,"(0,1,4)(0,3,1)[12]"
2317.08525469291,"(2,2,1)(0,3,1)[12]"
2317.60279851852,"(1,2,0)(5,3,0)[12]"
2317.90049572149,"(1,1,4)(0,3,1)[12]"
2317.95327678812,"(4,1,1)(0,3,1)[12]"
2318.15628180677,"(1,1,5)(0,3,1)[12]"
2318.22299498511,"(2,0,4)(0,3,1)[12]"
2318.23104152954,"(2,1,3)(0,3,1)[12]"
2318.60252743128,"(0,1,5)(0,3,1)[12]"
2319.5017391073,"(4,1,2)(0,3,1)[12]"
2319.85259725011,"(0,2,1)(0,3,1)[12]"
2319.97683204427,"(0,1,2)(0,3,1)[12]"
2320.15774595748,"(2,1,4)(0,3,1)[12]"
2320.50085535991,"(3,1,3)(0,3,1)[12]"
2320.98462449698,"(2,2,0)(3,3,0)[12]"
2322.04826105908,"(4,2,0)(2,3,0)[12]"
2322.10329164819,"(0,0,0)(1,3,1)[12]"
2322.38632548531,"(0,0,1)(0,3,1)[12]"
2322.90339588156,"(5,1,0)(0,3,1)[12]"
2323.04914258524,"(5,1,1)(0,3,1)[12]"
2323.57051553767,"(3,2,0)(2,3,0)[12]"
2323.76767691867,"(1,2,2)(1,3,0)[12]"
2323.83701350288,"(4,1,0)(0,3,1)[12]"
2324.94129999917,"(3,1,0)(0,3,1)[12]"
2325.33397214945,"(1,2,3)(1,3,0)[12]"
2325.94525796561,"(0,1,1)(0,3,1)[12]"
2326.10951552655,"(2,2,3)(1,3,0)[12]"
2327.25636492756,"(1,2,0)(1,3,1)[12]"
2327.57753400947,"(3,2,2)(1,3,0)[12]"
2328.941819708,"(1,1,0)(0,3,1)[12]"
2329.10408078797,"(2,1,0)(0,3,1)[12]"
2329.18516168453,"(0,2,3)(1,3,0)[12]"
2329.50584199411,"(0,2,4)(1,3,0)[12]"
2329.60437259132,"(0,2,2)(1,3,0)[12]"
2329.66897608825,"(4,2,2)(1,3,0)[12]"
2329.74888410103,"(2,2,4)(1,3,0)[12]"
2329.7582525833,"(3,2,3)(1,3,0)[12]"
2329.82603252634,"(1,2,5)(1,3,0)[12]"
2330.30076474907,"(3,0,3)(1,3,0)[12]"
2330.60550834513,"(1,2,2)(0,2,2)[12]"
2331.3576877433,"(0,2,5)(1,3,0)[12]"
2331.40703701476,"(1,2,0)(4,3,0)[12]"
2331.51652482933,"(1,2,1)(1,3,0)[12]"
2331.52965990221,"(3,1,3)(1,3,0)[12]"
2331.78319343054,"(1,0,0)(1,3,0)[12]"
2331.87722177128,"(1,2,3)(0,2,2)[12]"
2331.92531462992,"(2,2,2)(0,2,2)[12]"
2331.9510793686,"(0,2,3)(0,2,2)[12]"
2331.96180347939,"(2,2,1)(1,3,0)[12]"
2332.05075413601,"(3,2,1)(1,3,0)[12]"
2332.19183936688,"(1,2,4)(1,3,0)[12]"
2332.31906256148,"(0,2,2)(0,2,2)[12]"
2332.5701007931,"(0,1,0)(0,3,1)[12]"
2332.65855190149,"(2,2,2)(1,3,0)[12]"
2332.71861351689,"(1,2,2)(0,2,3)[12]"
2333.15411340318,"(0,2,4)(0,2,2)[12]"
2333.37763755192,"(4,2,1)(1,3,0)[12]"
2333.5064606934,"(5,2,1)(1,3,0)[12]"
2333.55768938977,"(2,0,0)(1,3,0)[12]"
2333.57022959678,"(1,0,1)(1,3,0)[12]"
2333.81125751014,"(0,2,5)(0,2,2)[12]"
2333.9219019726,"(1,1,1)(1,3,0)[12]"
2334.01003272915,"(1,2,3)(1,2,2)[12]"
2334.05899177007,"(3,2,2)(0,2,2)[12]"
2334.0768757389,"(2,2,2)(1,2,2)[12]"
2334.09989438023,"(1,2,3)(0,2,3)[12]"
2334.12012939154,"(2,2,2)(0,2,3)[12]"
2334.19969692089,"(0,2,3)(1,2,2)[12]"
2334.20172661827,"(0,2,3)(0,2,3)[12]"
2334.48141567446,"(0,2,2)(1,2,2)[12]"
2334.48678390582,"(2,2,3)(0,2,2)[12]"
2334.55007857106,"(0,2,2)(0,2,3)[12]"
2334.97088901432,"(1,2,2)(2,2,2)[12]"
2335.0237588571,"(1,2,2)(1,2,3)[12]"
2335.1152720465,"(0,2,1)(1,3,0)[12]"
2335.25064254753,"(1,2,2)(0,2,4)[12]"
2335.29011292107,"(0,2,4)(0,2,3)[12]"
2335.36162287333,"(0,2,4)(1,2,2)[12]"
2335.51290900355,"(2,2,0)(2,3,0)[12]"
2335.5636444875,"(2,0,1)(1,3,0)[12]"
2335.62281748468,"(2,1,1)(1,3,0)[12]"
2335.62830690263,"(1,1,2)(1,3,0)[12]"
2335.64575581942,"(0,0,0)(2,3,0)[12]"
2335.70445349878,"(3,0,0)(1,3,0)[12]"
2335.71411117809,"(1,0,2)(1,3,0)[12]"
2335.72371129449,"(1,2,4)(0,2,2)[12]"
2336.34731180896,"(0,2,2)(0,2,4)[12]"
2336.39332316065,"(0,2,3)(1,2,3)[12]"
2336.40260485861,"(0,2,3)(0,2,4)[12]"
2336.46284323341,"(0,2,3)(2,2,2)[12]"
2336.53604698295,"(0,2,2)(1,2,3)[12]"
2336.64245110697,"(0,2,2)(2,2,2)[12]"
2336.78834861957,"(2,2,1)(0,2,2)[12]"
2337.01651758733,"(1,2,2)(2,2,1)[12]"
2337.3527770438,"(1,1,1)(0,2,2)[12]"
2337.67026132615,"(0,2,2)(2,2,1)[12]"
2337.69215068798,"(4,2,1)(0,2,2)[12]"
2337.71595802572,"(2,1,2)(1,3,0)[12]"
2337.756651218,"(2,0,2)(1,3,0)[12]"
2337.75873617662,"(3,0,1)(1,3,0)[12]"
2337.82164199176,"(3,1,1)(1,3,0)[12]"
2337.82688063258,"(1,1,3)(1,3,0)[12]"
2337.84221067492,"(4,0,0)(1,3,0)[12]"
2337.86256630331,"(1,0,3)(1,3,0)[12]"
2337.9027544609,"(0,2,3)(2,2,1)[12]"
2338.02253572425,"(3,2,1)(0,2,2)[12]"
2338.4406517851,"(1,1,2)(0,2,2)[12]"
2338.52749069418,"(2,1,1)(0,2,2)[12]"
2338.55808650581,"(0,2,2)(3,2,1)[12]"
2338.68696631372,"(0,0,4)(1,3,0)[12]"
2338.71743726121,"(0,2,2)(0,2,5)[12]"
2338.74294428415,"(0,2,3)(3,2,1)[12]"
2338.7667078871,"(0,2,2)(2,2,3)[12]"
2338.7795166384,"(0,2,2)(1,2,4)[12]"
2338.84596163942,"(1,2,1)(0,2,2)[12]"
2338.84947196068,"(0,2,2)(4,2,1)[12]"
2339.0114184778,"(2,2,1)(1,2,2)[12]"
2339.04781667291,"(2,2,1)(0,2,3)[12]"
2339.07043672065,"(0,1,2)(0,2,2)[12]"
2339.32151266154,"(0,2,4)(2,2,1)[12]"
2339.40700811777,"(1,1,1)(1,2,2)[12]"
2339.41813687944,"(1,1,1)(0,2,3)[12]"
2339.75666779711,"(0,0,3)(1,3,0)[12]"
2339.83804865856,"(1,0,1)(0,2,2)[12]"
2339.88931005649,"(2,0,3)(1,3,0)[12]"
2339.90649064697,"(4,0,1)(1,3,0)[12]"
2339.9161376677,"(0,1,1)(0,2,2)[12]"
2339.92804183831,"(3,1,2)(1,3,0)[12]"
2339.92804659407,"(2,1,3)(1,3,0)[12]"
2339.93732351689,"(1,2,3)(2,2,1)[12]"
2339.94679459357,"(4,1,1)(1,3,0)[12]"
2339.96251515465,"(1,1,4)(1,3,0)[12]"
2339.97994878452,"(3,0,2)(1,3,0)[12]"
2340.05687505825,"(0,1,3)(0,2,2)[12]"
2340.05811542066,"(5,0,0)(1,3,0)[12]"
2340.08869679953,"(1,0,4)(1,3,0)[12]"
2340.30274858802,"(3,2,1)(0,2,3)[12]"
2340.32048752288,"(3,2,1)(1,2,2)[12]"
2340.45612881221,"(0,1,4)(0,2,2)[12]"
2340.60550969353,"(3,1,1)(0,2,2)[12]"
2340.64124986893,"(1,1,2)(1,2,2)[12]"
2340.64818807743,"(1,1,2)(0,2,3)[12]"
2340.66220035244,"(2,1,2)(0,2,2)[12]"
2340.67035631855,"(2,1,1)(1,2,2)[12]"
2340.68105096527,"(2,1,1)(0,2,3)[12]"
2340.70601651617,"(0,0,5)(1,3,0)[12]"
2340.80925795982,"(2,0,0)(0,2,2)[12]"
2340.81034293674,"(2,2,1)(0,2,4)[12]"
2340.85990725874,"(2,2,1)(1,2,3)[12]"
2340.96671845447,"(1,2,1)(1,2,2)[12]"
2340.98929150581,"(1,2,1)(0,2,3)[12]"
2341.02094503805,"(2,2,1)(2,2,2)[12]"
2341.16201404206,"(2,0,1)(0,2,2)[12]"
2341.21738713748,"(0,1,5)(1,3,0)[12]"
2341.25510321869,"(0,1,2)(1,2,2)[12]"
2341.25830083853,"(2,2,2)(2,2,1)[12]"
2341.26242785375,"(0,1,2)(0,2,3)[12]"
2341.28069715832,"(0,2,2)(3,2,2)[12]"
2341.29742933245,"(1,2,2)(1,2,1)[12]"
2341.39128732794,"(0,2,2)(1,2,1)[12]"
2341.57059378656,"(1,0,2)(0,2,2)[12]"
2341.70025917922,"(1,1,1)(0,2,4)[12]"
2341.72120114899,"(2,0,4)(1,3,0)[12]"
2341.7348894011,"(1,1,1)(1,2,3)[12]"
2342.01892970252,"(1,0,1)(0,2,3)[12]"
2342.01913240933,"(1,0,1)(1,2,2)[12]"
2342.02451195248,"(2,1,4)(1,3,0)[12]"
2342.049389639,"(0,2,3)(1,2,1)[12]"
2342.05298562487,"(0,1,1)(1,2,2)[12]"
2342.05791620679,"(4,1,2)(1,3,0)[12]"
2342.06419652809,"(0,1,1)(0,2,3)[12]"
2342.11435455782,"(5,0,1)(1,3,0)[12]"
2342.1302398786,"(3,0,0)(0,2,2)[12]"
2342.15078285401,"(0,0,2)(1,3,0)[12]"
2342.20751917317,"(0,1,3)(1,2,2)[12]"
2342.2196269251,"(0,1,3)(0,2,3)[12]"
2342.23312598337,"(2,2,2)(1,2,1)[12]"
2342.23486008447,"(1,1,5)(1,3,0)[12]"
2342.24870521314,"(1,0,5)(1,3,0)[12]"
2342.25072751093,"(0,1,3)(1,3,0)[12]"
2342.33273538441,"(1,2,1)(0,2,4)[12]"
2342.34780988277,"(0,1,2)(1,3,0)[12]"
2342.5822046588,"(0,1,5)(0,2,2)[12]"
2342.59539586971,"(4,1,1)(0,2,2)[12]"
2342.63058609293,"(1,1,4)(0,2,2)[12]"
2342.63544203943,"(0,1,4)(0,2,3)[12]"
2342.66866591543,"(1,1,3)(0,2,2)[12]"
2342.6890560592,"(2,2,1)(2,2,1)[12]"
2342.70379704513,"(0,1,4)(1,2,2)[12]"
2342.73918504017,"(1,1,2)(0,2,4)[12]"
2342.75532387911,"(2,0,2)(0,2,2)[12]"
2342.76666472297,"(3,1,2)(0,2,2)[12]"
2342.77246089488,"(3,0,1)(0,2,2)[12]"
2342.79534202791,"(1,1,3)(1,2,2)[12]"
2342.80785265481,"(1,2,0)(3,3,0)[12]"
2342.81187159597,"(1,2,1)(2,2,2)[12]"
2342.83485272489,"(3,1,1)(1,2,2)[12]"
2342.83632668262,"(3,1,1)(0,2,3)[12]"
2342.84300955585,"(1,0,0)(0,2,2)[12]"
2342.89116590136,"(2,1,2)(0,2,3)[12]"
2342.90472394765,"(2,1,1)(2,2,2)[12]"
2342.9091630227,"(2,1,3)(0,2,2)[12]"
2342.9099615005,"(1,1,2)(1,2,3)[12]"
2342.97356533869,"(2,0,0)(1,2,2)[12]"
2342.97614258454,"(2,0,0)(0,2,3)[12]"
2342.98244345392,"(2,1,1)(1,2,3)[12]"
2343.02998575626,"(1,2,1)(1,2,3)[12]"
2343.04955033372,"(5,1,0)(0,2,2)[12]"
2343.12394845165,"(2,2,1)(3,2,1)[12]"
2343.1890461493,"(2,1,1)(0,2,4)[12]"
2343.26535026767,"(2,1,2)(1,2,2)[12]"
2343.29462379598,"(0,1,1)(1,3,0)[12]"
2343.31018574741,"(2,0,1)(1,2,2)[12]"
2343.31596535897,"(2,0,1)(0,2,3)[12]"
2343.35506946049,"(0,1,2)(1,2,3)[12]"
2343.43840792227,"(0,1,2)(0,2,4)[12]"
2343.46230861314,"(1,0,3)(0,2,2)[12]"
2343.48406506939,"(0,1,2)(2,2,2)[12]"
2343.59688176527,"(0,2,2)(5,2,0)[12]"
2343.6102300281,"(0,2,4)(1,2,1)[12]"
2343.71246791904,"(1,1,1)(1,2,4)[12]"
2343.7217954347,"(5,2,0)(0,3,1)[12]"
2343.77623123175,"(1,0,2)(1,2,2)[12]"
2343.77842954718,"(1,0,2)(0,2,3)[12]"
2343.78155582665,"(0,1,4)(1,3,0)[12]"
2343.80707178703,"(1,1,1)(0,2,5)[12]"
2343.91916480662,"(3,2,2)(1,2,1)[12]"
2343.94692590977,"(1,0,1)(0,2,4)[12]"
2343.99688329833,"(1,0,1)(1,2,3)[12]"
2344.02176336994,"(1,0,1)(2,2,2)[12]"
2344.03402428666,"(0,1,1)(1,2,3)[12]"
2344.05942202297,"(0,1,1)(0,2,4)[12]"
2344.06990860948,"(1,1,1)(4,2,1)[12]"
2344.1543951446,"(0,1,1)(2,2,2)[12]"
2344.22447941814,"(3,2,1)(2,2,1)[12]"
2344.33191880354,"(4,0,0)(0,2,2)[12]"
2344.34342395185,"(3,0,0)(0,2,3)[12]"
2344.34384419184,"(3,0,0)(1,2,2)[12]"
2344.50717948254,"(0,1,3)(2,2,2)[12]"
2344.52300578785,"(0,1,3)(1,2,3)[12]"
2344.53032466486,"(0,1,3)(0,2,4)[12]"
2344.55866557654,"(1,0,4)(0,2,2)[12]"
2344.58743355881,"(0,2,5)(1,2,1)[12]"
2344.61036330053,"(1,2,1)(1,2,4)[12]"
2344.66824149333,"(1,0,0)(1,2,2)[12]"
2344.70887340456,"(1,0,0)(0,2,3)[12]"
2344.72060042185,"(2,1,0)(0,2,2)[12]"
2344.72701170035,"(1,2,1)(4,2,1)[12]"
2344.82383338377,"(2,0,0)(0,2,4)[12]"
2344.85886627819,"(1,2,1)(0,2,5)[12]"
2344.90889069025,"(1,1,3)(0,2,3)[12]"
2344.93970183894,"(2,0,0)(2,2,2)[12]"
2344.94102533028,"(2,0,2)(1,2,2)[12]"
2344.95040192361,"(2,0,2)(0,2,3)[12]"
2344.95868973863,"(3,0,1)(1,2,2)[12]"
2344.96196979429,"(3,0,1)(0,2,3)[12]"
2344.97448512739,"(4,0,1)(0,2,2)[12]"
2344.99097361266,"(2,0,0)(1,2,3)[12]"
2345.05551519654,"(1,2,1)(2,2,3)[12]"
2345.11064680163,"(1,2,1)(3,2,2)[12]"
2345.18418346053,"(3,0,2)(0,2,2)[12]"
2345.18787399677,"(1,1,2)(2,2,1)[12]"
2345.26246474516,"(4,1,0)(0,2,2)[12]"
2345.31706384083,"(1,2,1)(3,2,1)[12]"
2345.32671470376,"(2,2,3)(1,2,1)[12]"
2345.35070076992,"(1,2,3)(1,2,1)[12]"
2345.37505807764,"(1,0,1)(2,2,1)[12]"
2345.37889105243,"(0,1,2)(2,2,1)[12]"
2345.39009539982,"(2,1,1)(2,2,1)[12]"
2345.39507154265,"(1,2,1)(2,2,1)[12]"
2345.39759521102,"(2,0,1)(2,2,2)[12]"
2345.46466513893,"(2,0,1)(0,2,4)[12]"
2345.49021787668,"(2,0,1)(1,2,3)[12]"
2345.52063022446,"(3,1,0)(1,3,0)[12]"
2345.52240711943,"(0,1,2)(1,2,4)[12]"
2345.52282532605,"(2,2,1)(1,2,1)[12]"
2345.53242160311,"(1,1,0)(1,3,0)[12]"
2345.53762737798,"(0,1,2)(2,2,3)[12]"
2345.5957676782,"(0,1,1)(2,2,1)[12]"
2345.65937974596,"(2,0,3)(0,2,2)[12]"
2345.67299880202,"(1,0,3)(1,2,2)[12]"
2345.67917750589,"(1,0,3)(0,2,3)[12]"
2345.70076361535,"(0,1,2)(0,2,5)[12]"
2345.71108808757,"(2,1,0)(1,3,0)[12]"
2345.73631720476,"(1,1,2)(2,2,2)[12]"
2345.7686529603,"(5,0,0)(0,2,2)[12]"
2345.78080725546,"(3,1,0)(0,2,2)[12]"
2345.81323655098,"(1,0,2)(0,2,4)[12]"
2345.85199824562,"(1,0,2)(1,2,3)[12]"
2345.86069483736,"(1,0,2)(2,2,2)[12]"
2346.03148984472,"(1,0,1)(3,2,1)[12]"
2346.06004196518,"(1,2,4)(1,2,1)[12]"
2346.0769712709,"(0,1,2)(3,2,1)[12]"
2346.17899272028,"(1,0,1)(1,2,4)[12]"
2346.18544366062,"(1,0,1)(0,2,5)[12]"
2346.23362099632,"(1,0,1)(3,2,2)[12]"
2346.23384073451,"(0,1,2)(4,2,1)[12]"
2346.23624346272,"(1,0,1)(4,2,1)[12]"
2346.23985341893,"(0,1,1)(0,2,5)[12]"
2346.27418741525,"(0,1,1)(1,2,4)[12]"
2346.28878911226,"(3,0,0)(0,2,4)[12]"
2346.28907307877,"(0,1,1)(2,2,3)[12]"
2346.296659321,"(1,0,1)(2,2,3)[12]"
2346.31642181873,"(3,0,0)(1,2,3)[12]"
2346.34084343861,"(2,0,0)(2,2,1)[12]"
2346.35504352407,"(0,1,1)(3,2,1)[12]"
2346.36944773809,"(3,0,0)(2,2,2)[12]"
2346.48629276596,"(5,1,0)(1,3,0)[12]"
2346.50372659271,"(1,0,0)(0,2,4)[12]"
2346.56712548447,"(0,1,3)(2,2,1)[12]"
2346.56997942317,"(0,1,1)(4,2,1)[12]"
2346.57845291792,"(4,0,0)(1,2,2)[12]"
2346.57851600412,"(4,0,0)(0,2,3)[12]"
2346.64685312946,"(4,1,0)(1,3,0)[12]"
2346.6647624002,"(1,0,0)(2,2,2)[12]"
2346.88665341668,"(2,0,0)(3,2,1)[12]"
2346.89221027072,"(2,1,0)(1,2,2)[12]"
2346.91051398244,"(2,1,0)(0,2,3)[12]"
2346.95548641969,"(3,2,1)(1,2,1)[12]"
2346.98939825767,"(0,1,4)(2,2,1)[12]"
2347.04808535755,"(0,1,1)(5,2,1)[12]"
2347.06618428775,"(2,0,0)(0,2,5)[12]"
2347.09716837698,"(2,0,0)(2,2,3)[12]"
2347.11686089154,"(2,0,0)(1,2,4)[12]"
2347.12661214625,"(2,0,0)(3,2,2)[12]"
2347.17293501296,"(1,0,0)(1,2,3)[12]"
2347.2367423126,"(1,1,0)(0,2,2)[12]"
2347.24342226238,"(0,1,3)(3,2,1)[12]"
2347.24554266343,"(2,0,1)(2,2,1)[12]"
2347.36575380385,"(1,0,2)(2,2,1)[12]"
2347.38235926608,"(3,1,1)(2,2,1)[12]"
2347.44502063429,"(0,1,1)(2,2,4)[12]"
2347.46768048338,"(4,2,1)(1,2,1)[12]"
2347.47572245055,"(2,1,2)(2,2,1)[12]"
2347.50883752722,"(1,2,1)(1,2,1)[12]"
2347.54031725449,"(4,1,0)(1,2,2)[12]"
2347.54249537523,"(4,1,0)(0,2,3)[12]"
2347.66883258919,"(3,0,0)(2,2,1)[12]"
2347.98531125759,"(0,1,1)(4,2,2)[12]"
2348.03344531688,"(3,1,0)(0,2,3)[12]"
2348.04426915114,"(3,1,0)(1,2,2)[12]"
2348.05016612333,"(1,0,2)(3,2,1)[12]"
2348.25398284295,"(1,0,1)(1,2,1)[12]"
2348.2634197881,"(1,1,2)(1,2,1)[12]"
2348.32274562969,"(3,0,0)(3,2,1)[12]"
2348.3379266308,"(1,0,0)(2,2,1)[12]"
2348.35241780976,"(5,1,1)(1,3,0)[12]"
2348.43313531629,"(1,0,0)(4,2,1)[12]"
2348.45492373364,"(1,0,0)(2,2,3)[12]"
2348.51429855078,"(1,0,0)(1,2,4)[12]"
2348.54034154063,"(0,0,4)(0,2,2)[12]"
