"aicc","model"
2235.83311208189,"(0,1,1)(1,3,3)[12]"
2235.86858664525,"(0,1,1)(0,3,4)[12]"
2235.92775235384,"(0,1,2)(0,3,4)[12]"
2235.96355599582,"(1,0,0)(3,3,3)[12]"
2236.01418572183,"(2,1,1)(2,3,2)[12]"
2236.14305207157,"(0,0,3)(1,3,2)[12]"
2236.15974055369,"(2,1,1)(1,3,3)[12]"
2236.22641320076,"(0,0,3)(1,3,3)[12]"
2236.2312680634,"(0,0,3)(0,3,4)[12]"
2236.24581203666,"(1,1,1)(0,3,5)[12]"
2236.314331911,"(0,1,1)(2,3,2)[12]"
2236.43610300716,"(0,1,2)(2,3,2)[12]"
2236.45999319289,"(0,1,3)(0,3,4)[12]"
2236.63001142978,"(0,0,4)(1,3,2)[12]"
2236.66201952742,"(0,1,3)(1,3,2)[12]"
2236.70943187859,"(1,1,1)(1,3,4)[12]"
2236.7545042516,"(0,0,3)(2,3,2)[12]"
2236.77765499678,"(1,1,1)(2,3,3)[12]"
2236.90991546681,"(0,1,2)(1,3,3)[12]"
2237.04321740277,"(0,1,3)(2,3,2)[12]"
2237.12964810743,"(0,1,3)(1,3,3)[12]"
2237.22027764484,"(2,2,2)(0,3,2)[12]"
2237.28092866292,"(1,2,3)(0,3,2)[12]"
2237.32595876235,"(1,0,1)(4,3,1)[12]"
2237.3957760589,"(2,1,2)(1,3,2)[12]"
2237.45109499432,"(0,1,4)(1,3,2)[12]"
2237.49077104982,"(3,1,1)(1,3,2)[12]"
2237.66031005967,"(1,1,3)(1,3,2)[12]"
2237.95805508176,"(0,1,1)(0,3,5)[12]"
2238.03456910102,"(0,1,1)(2,3,3)[12]"
2238.07880860416,"(0,2,4)(0,3,2)[12]"
2238.17271831449,"(0,1,2)(0,3,5)[12]"
2238.25394459237,"(0,1,1)(1,3,4)[12]"
2238.31895017305,"(4,1,0)(0,3,3)[12]"
2238.32310210084,"(0,1,2)(1,3,4)[12]"
2238.5231334287,"(1,0,0)(4,3,1)[12]"
2238.70403620378,"(0,1,2)(2,3,3)[12]"
2238.7351707974,"(2,1,0)(0,3,3)[12]"
2238.75038006905,"(0,2,3)(0,3,2)[12]"
